CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,District,Neighborhood,Longitude,Latitude,Premise,Total Incidents
05/17/2017,9:18:00 PM,1O,500 S EATON ST,HOMICIDE,Outside,OTHER,SOUTHEASTERN,Brewers Hill,-76.56531,39.28661,STREET,1
05/17/2017,10:03:00 PM,1A,5300 MERCERON AV,HOMICIDE,Outside,FIREARM,NORTHWESTERN,Howard Park,-76.69764,39.33902,STREET,1
05/16/2017,9:39:00 AM,1A,2600 GREENMOUNT AV,HOMICIDE,Outside,FIREARM,NORTHERN,Better Waverly,-76.60944,39.32042,NA,1
05/15/2017,12:55:00 AM,1A,1000 WASHBURN AV,HOMICIDE,Outside,FIREARM,SOUTHERN,Brooklyn,-76.59675,39.2323,STREET,1
05/15/2017,12:30:00 PM,1A,3000 SPAULDING AV,HOMICIDE,Outside,FIREARM,NORTHWESTERN,Central Park Heights,-76.67228,39.34976,STREET,1
05/14/2017,12:59:00 AM,1A,4300 REISTERSTOWN RD,HOMICIDE,Outside,FIREARM,NORTHWESTERN,Towanda-Grantley,-76.66774,39.3386,STREET,1
05/12/2017,10:00:00 AM,1A,1200 BLOOMFIELD AV,HOMICIDE,Outside,FIREARM,SOUTHWESTERN,Violetville,-76.66954,39.26852,STREET,1
05/11/2017,11:29:00 PM,1A,3900 MAINE AV,HOMICIDE,Outside,FIREARM,NORTHWESTERN,Central Forest Park,-76.68345,39.32636,PUBLIC AREA,1
05/09/2017,6:01:00 PM,1A,2800 W LANVALE ST,HOMICIDE,Outside,FIREARM,WESTERN,Mosher,-76.66317,39.29724,STREET,1
05/09/2017,6:01:00 PM,1A,2800 W LANVALE ST,HOMICIDE,Outside,FIREARM,WESTERN,Mosher,-76.66317,39.29724,STREET,1
05/09/2017,10:12:00 PM,1A,1200 CROFTON RD,HOMICIDE,Outside,FIREARM,NORTHEASTERN,New Northwood,-76.59687,39.3468,STREET,1
05/08/2017,7:47:00 PM,1A,6100 BOSTON ST,HOMICIDE,Outside,FIREARM,SOUTHEASTERN,O'Donnell Heights,-76.54289,39.27801,STREET,1
